s,zeta_s,temps_calcul,reussite
(0.5+14j),(0.022241142609993589246213199203968626386786243194924 - 0.1032581232664500579023630955525738345075490304641j),0.007445335388183594,True
(0.5+21j),(-0.0051620646381019009048328210143896516987087371570711 - 0.024546964575121902877924957175591007826355344497814j),0.0029511451721191406,True
(0.5+25j),(0.004984593364035675383362507223590309110587828269388 - 0.014012301962583382962901214587651289145189890620602j),0.0027985572814941406,True
(2+0j),1.6449340668482264364724151666460251892189499012068,0.00015115737915039062,True
(3+0j),1.2020569031595942853997381615114499907649862923405,9.250640869140625e-05,True
(4+0j),1.0823232337111381915160036965411679027747509519187,0.00012445449829101562,True
(0.5+0j),-1.4603545088095868128894991525152980124672293310126,0.0004775524139404297,True
(1.5+0j),2.6123753486854883433485675679240716305708006524001,0.0005486011505126953,True
(2.5+0j),1.341487257250917179756769693348612136623037629506,0.0010838508605957031,True
(3.5+0j),1.1267338673170566464278124918549842722219969574036,0.0015099048614501953,True
